scenario_id,scenario_name,replication,dgp_name,learner_name,n,p,n_obs,n_covariates,n_folds,theta_true,theta_0,data_seed,split_seed,learner_g_seed,learner_m_seed,learner_y,learner_d,theta_hat,se,t_stat,ci_lower,ci_upper,ci_length,covered,error,squared_error,failed,failure_reason,mean_fold_train_size,mean_fold_test_size,mean_fold_ratio,max_fold_ratio,mean_condition_number,max_condition_number,mean_min_eigenvalue,min_min_eigenvalue,rank_deficiency_rate,mean_nuisance_mse_y,mean_nuisance_mse_d,mean_nuisance_r2_y,mean_nuisance_r2_d
0,linear_confounding_n250_p25_k2_ols,0,linear_confounding,ols,250,25,250,25,2,1.0,1.0,2515238956,2509043849,1291756858,3458035359,OLSLearner,OLSLearner,1.0883237859022745,0.05649166873218049,1.5634833929407517,0.9776001151872008,1.1990474566173484,0.22144734143014755,True,0.08832378590227452,0.007801091156110827,False,,125.0,125.0,0.2,0.2,7.020785430337201,7.437980957566854,0.30599056086385834,0.28229278822752996,0.0,2.9550022865090266,1.5439220195093122,0.5144219656644093,0.42931036072036755
0,linear_confounding_n250_p25_k2_ols,1,linear_confounding,ols,250,25,250,25,2,1.0,1.0,498021354,3836371081,1996938848,2206090398,OLSLearner,OLSLearner,1.0310307275398993,0.06468188286974282,0.479743726730859,0.9042542371152034,1.1578072179645953,0.25355298084939193,True,0.031030727539899328,0.0009629060516554666,False,,125.0,125.0,0.2,0.2,5.851672323998052,6.298747712193269,0.34353391161855634,0.3258635815405409,0.0,3.1286047889825337,1.400788931555446,0.5184342595084852,0.41926887462470375
0,linear_confounding_n250_p25_k2_ols,2,linear_confounding,ols,250,25,250,25,2,1.0,1.0,3995844805,1953642853,1899919530,338819387,OLSLearner,OLSLearner,1.1217088785259033,0.06185555759674739,1.967630448331828,1.0004719856362785,1.242945771415528,0.2424737857792496,False,0.12170887852590329,0.014813051112033081,False,,125.0,125.0,0.2,0.2,6.675732688799901,7.578870581088644,0.3300458250823491,0.3142313658898782,0.0,2.8235814255098814,1.127237513235531,0.6169215710912692,0.49866902104976923
0,linear_confounding_n250_p25_k2_ols,3,linear_confounding,ols,250,25,250,25,2,1.0,1.0,1951986870,4069223965,2355462741,3694442209,OLSLearner,OLSLearner,1.066271141245954,0.05507617413322528,1.2032633400724044,0.9583218399448324,1.1742204425470755,0.21589860260224303,True,0.06627114124595401,0.004391864162041187,False,,125.0,125.0,0.2,0.2,5.3512407367859245,5.530232205350321,0.34499916274512854,0.34216210954281495,0.0,2.92597245834958,1.4720734175016643,0.5732957681361037,0.44079525413755394
0,linear_confounding_n250_p25_k2_ols,4,linear_confounding,ols,250,25,250,25,2,1.0,1.0,1528741118,2547572704,1010104046,27901356,OLSLearner,OLSLearner,0.9431472676983832,0.06288599424368872,-0.9040603235325738,0.8198907189807533,1.066403816416013,0.24651309743525973,True,-0.056852732301616804,0.0032322331701593026,False,,125.0,125.0,0.2,0.2,5.5985020252781315,5.946787217508872,0.33980606876441566,0.3196437319484129,0.0,2.623151589008825,1.3825267471109486,0.6318577315282341,0.48115624295796683
0,linear_confounding_n250_p25_k2_ols,5,linear_confounding,ols,250,25,250,25,2,1.0,1.0,2740392798,2366063928,116247463,3489264677,OLSLearner,OLSLearner,1.0345413245342194,0.065964642516821,0.5236339229066751,0.9052506252012502,1.1638320238671886,0.25858139866593843,True,0.03454132453421943,0.0011931031005782693,False,,125.0,125.0,0.2,0.2,6.479539898849742,7.318734852943815,0.32068066278240304,0.2836316869222897,0.0,2.605533769255622,1.21568295863289,0.6564289839764093,0.618178670726354
0,linear_confounding_n250_p25_k2_ols,6,linear_confounding,ols,250,25,250,25,2,1.0,1.0,469012672,841447610,1579073376,264816616,OLSLearner,OLSLearner,0.9200617490438637,0.06167997558967637,-1.2960162547391776,0.7991689968880981,1.0409545011996295,0.24178550431153145,True,-0.07993825095613627,0.006390123965926221,False,,125.0,125.0,0.2,0.2,6.548381386702384,6.5578271616469594,0.29177246326739315,0.2847530726037938,0.0,2.2598985336324273,1.3128295507101777,0.6902482035912293,0.4955330650894012
0,linear_confounding_n250_p25_k2_ols,7,linear_confounding,ols,250,25,250,25,2,1.0,1.0,3454224618,3924335679,2152434232,1982317795,OLSLearner,OLSLearner,1.0567460041976704,0.07277065592097191,0.7797923968047766,0.9141155185925655,1.1993764898027752,0.28526097121020977,True,0.0567460041976704,0.003220108992402026,False,,125.0,125.0,0.2,0.2,5.8483059442356335,6.363693943035689,0.33245117333602303,0.3126316879066917,0.0,2.223879196605152,0.9869462108428619,0.7043455947010742,0.6301937943996447
0,linear_confounding_n250_p25_k2_ols,8,linear_confounding,ols,250,25,250,25,2,1.0,1.0,347787102,1631937277,4005939467,192936431,OLSLearner,OLSLearner,1.0676154465609249,0.06833632846362363,0.9894509711173248,0.9336762427722226,1.2015546503496273,0.26787840757740466,True,0.06761544656092489,0.004571848613633289,False,,125.0,125.0,0.2,0.2,6.123795581922739,6.967078909831365,0.34317036854323496,0.32479541786775895,0.0,3.344998959134945,1.4490746365319258,0.5495898177164158,0.45172798564841815
0,linear_confounding_n250_p25_k2_ols,9,linear_confounding,ols,250,25,250,25,2,1.0,1.0,3667785321,4068485501,155226082,475270356,OLSLearner,OLSLearner,1.0641097122601335,0.06443683372759998,0.994923377693427,0.9378135181540376,1.1904059063662296,0.252592388212192,True,0.06410971226013351,0.004110055206077113,False,,125.0,125.0,0.2,0.2,5.195671188181377,5.299358450309941,0.392606099950644,0.3912189533342551,0.0,2.3616933190576743,1.0084898324891836,0.6872105844543367,0.6069224237029576
